"","logFC","logCPM","LR","PValue","FDR"
"ATF3",-1.57036353658714,5.51881737469312,107.867288520551,2.87391688287184e-25,7.57919304933025e-24
"ATHL1",1.46209678074661,5.6062218825761,34.084848748616,5.27604841444893e-09,1.95950110046119e-08
"ATOH8",-1.66442588447572,3.78212509544592,57.4492986515526,3.46804838593181e-14,2.50283830922906e-13
"ATP10A",1.79644604979986,1.50738840240244,31.2556946120924,2.26183039440051e-08,7.68650671824792e-08
"ATP11C",-1.02591064425478,5.09442614465902,58.3577646931927,2.18532449622887e-14,1.62490717677994e-13
"ATP1A1",1.63288704203184,9.49804171237659,46.7758097409524,7.95897965987471e-12,4.22059152146543e-11
"ATP1A2",2.25098835549019,1.62484715615298,28.4983615112017,9.37778146864513e-08,2.91272564517433e-07
"ATP1B1",1.4098301418164,8.70566617976028,51.2202667113675,8.25618310378156e-13,4.9657151139778e-12
"ATP1B3",1.10606891651211,5.09979339991683,39.3090765953677,3.61755775435372e-10,1.56566169237007e-09
"ATP6V0D2",3.95963254946276,0.326627654422883,53.3736023321037,2.75777851619417e-13,1.76969678984676e-12
"ATP6V1C1",1.26015640657943,6.347252015841,102.663198919506,3.97255911961256e-24,9.29091088443151e-23
"ATP8B3",1.1824402478908,0.838351535033459,31.4605226217495,2.03536587147439e-08,6.97089938995382e-08
"AURKA",2.88444515582916,4.2656157975889,192.18011538561,1.0628521461883e-43,1.10697197988259e-41
"AURKB",4.02354671676685,2.53312128882149,184.413139405085,5.27127663805856e-42,4.79951395529395e-40
"AVIL",3.23326652016283,2.54082867065243,50.1731145657919,1.40763235099351e-12,8.23032857242855e-12
"AVPI1",-1.15918140831065,4.4296429263212,85.7219356747485,2.07102734078534e-20,3.20323320646895e-19
"AVPR1A",-2.08856560229931,2.86228322647521,33.6415142709011,6.62633155890064e-09,2.42920744437084e-08
"AXIN2",1.93257295727548,3.36171189615164,26.8699379901058,2.17617657665894e-07,6.40205411507651e-07
"AXL",-1.35947637531678,3.52236650996154,89.8793543552928,2.53134802779759e-21,4.33684324241724e-20
"AZGP1",-1.09082329025289,9.66578497112491,35.5562927359252,2.47785289597744e-09,9.59911061682242e-09
"AZI1",1.8226145747092,3.56382692707191,200.044389389976,2.04242042313539e-45,2.5936947776957e-43
"B3GALNT1",1.25730289469873,1.68535376946532,47.2948182018567,6.10734562596997e-12,3.29051144872227e-11
"B3GALNT2",1.0404416477989,4.37096319755341,126.629977240434,2.23850049329023e-29,8.59596064757631e-28
"B3GALT2",1.39295507305742,0.774839337868881,10.9139536817985,0.000954426080687438,0.00170920662668382
"B3GNT3",1.81449832993433,3.64588746187115,22.1597292714482,2.50881325973815e-06,6.43288869309763e-06
"B3GNT5",1.06633271467034,3.19555780457713,21.9543298078186,2.7921625128544e-06,7.12524661201028e-06
"B3GNTL1",1.55903875881509,1.81959484459902,79.5027897200458,4.81544899199331e-19,6.32033137416928e-18
"B4GALNT1",4.60519605096873,2.26337617140648,117.872808616158,1.84870959902808e-27,6.08267474207488e-26
"B4GALNT2",9.16446572519164,0.699507795675723,51.7668987060297,6.24966055224543e-13,3.81756691201928e-12
"B4GALNT4",4.55192572796203,1.19329577114317,30.7405340228502,2.94939122248034e-08,9.83606006170188e-08
"BACE2",1.47955814266842,4.64425753768863,18.6449083474056,1.57467240725784e-05,3.63349257887658e-05
"BACH2",-1.63939224260934,1.79625422771711,89.7701214244041,2.6750381354328e-21,4.5668074394647e-20
"BAI2",3.95348841339954,0.0741452258461961,52.0312817507937,5.4623460630516e-13,3.35362103285827e-12
"BAIAP2L2",3.14274159003092,3.32337358625167,86.0522097343512,1.75247206298742e-20,2.73684337172265e-19
"BARD1",1.63665341816804,-0.371901727057612,32.0577184677866,1.4965930431234e-08,5.22328290388076e-08
"BARX1",2.47923829396909,-0.632465856585354,12.526248776766,0.000401274617455759,0.000756413103763936
"BBOX1",-1.56176623811343,4.28519276215224,29.0267981664381,7.13839476075995e-08,2.24951112214893e-07
"BCAM",1.05135848050114,7.45657957660892,28.5059157215861,9.34126406154642e-08,2.90200600469973e-07
"BCAN",5.44979046828747,1.06790526628036,103.051341385691,3.26574360416004e-24,7.70002771293566e-23
"BCAS1",2.9723721995335,1.63502621901145,40.0555207843669,2.46846105007912e-10,1.09239351067628e-09
"BCAT1",2.20951725977911,3.1995665344144,66.5784753788002,3.362376671348e-16,3.15880123757981e-15
"BCAT2",1.69021685889628,4.51144505290482,89.8920571399266,2.51514741557417e-21,4.3141930255056e-20
"BCHE",-1.43518477082548,5.94460782225757,36.1449345855535,1.83173994962462e-09,7.20992366794878e-09
"BCKDHB",-1.27188293105191,5.15431480084501,113.137803164865,2.01287633150328e-26,6.07091888566104e-25
"BCL11A",1.31536826349831,-0.11232181943822,14.4657738859738,0.000142729507901944,0.000286111199930274
"BCL2L14",1.49843426315275,0.372140569318307,15.2082671739226,9.62809942813481e-05,0.00019821671703798
"BCL2L15",2.23541424263178,-0.765397720361495,30.3727672509518,3.56498041840491e-08,1.17269305878773e-07
"BCL9",1.34217488011987,4.04267158189607,75.5005245617746,3.65309822754999e-18,4.31017954688193e-17
"BCO2",-2.97915367738907,3.55497916094742,170.434839111221,5.94557664309243e-39,4.2822941821915e-37
"BDH2",-1.02685903554855,5.28931032155686,59.6115067510045,1.15557534493974e-14,8.90802144232835e-14
"BDKRB1",3.16008063058799,-0.390495250039953,65.1124849676735,7.07424530093696e-16,6.32965693582599e-15
"BDKRB2",1.51425095758364,2.65647731186157,31.0942968140287,2.45792512572244e-08,8.29642854863225e-08
