V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
55723,10036,1869,7020,10052,10092,10085,10057,10016,10051,10139,0.9977,0,0,0,0,0,0.000361339948547357
55732,1869,4783,10052,10174,10085,10067,1030,1029,10196,10253,10051,10257,0.9986,0,0,0,0.000458493008248531
55740,1869,1870,2625,10052,10164,10174,1029,10085,10253,10092,10051,0.9967,0,0,0,0,0.000457728704324637
55753,1958,1012,10249,10253,0.9943,0,0,0,0,0,0,0,0,0,0,0,0.000201001723776761
55769,1879,10171,10038,10552,10128,10783,10865,10313,10512,100289635,10654,0.9911,0,0,0,0,0.000376014588101154
5577,1958,1959,1960,1012,10249,10092,10097,10044,10197,10016,10013,0.997,0,0,0,0,0.000364891803009221
55771,1869,2353,10052,10164,10085,10216,10092,10112,10051,0.9976,0,0,0,0,0,0,0.000331201171924543
55789,4609,7020,10061,10067,10092,10057,10055,10131,10059,10016,100132464,0.9924,0,0,0,0,0.0003552293057349
5579,1958,23462,3725,23764,4609,1012,10092,10067,10097,10061,10096,10055,100132464,10095,10013,0.993,0.000562625863364178
558,2353,10332,10163,10486,10216,10164,10112,10238,10103,10371,100113407,0.9927,0,0,0,0,0.000328988812136433
55835,1869,1958,7020,1012,10052,10085,10092,0.9985,0,0,0,0,0,0,0,0,0.000316018203284533
55859,21,84448,30,36,176,6257,1488,4609,5885,0.9921,0,0,0,0,0,0,0.000303753517779376
55861,1958,1959,1960,1012,10249,10130,10044,10062,10036,0.9948,0,0,0,0,0,0,0.000342084093221095
55867,9625,18,21,89845,10257,1869,4149,4609,7391,10664,7157,7025,2551,6772,0.9934,0,0.000548522049643762
5587,2099,3725,10332,10164,1020,10401,10411,10216,10057,10221,10371,10131,0.9939,0,0,0,0.000490489797513533
55872,1869,4609,10052,10061,10092,10067,10085,10055,10131,10158,10051,0.998,0,0,0,0,0.000400710400169354
55876,1879,1958,2353,2625,3725,1012,10057,10112,10092,10130,10036,10097,10062,10128,10131,0.9929,0.000660885261871762
55897,7020,10092,10057,10221,10196,10130,10059,10128,10103,10121,1021,0.9902,0,0,0,0,0.00042038422309311
5591,1869,3148,3608,3725,4609,10085,10052,10061,10062,10124,10051,1003,10092,10131,0.9976,0,0.00060427430610923
5600,2919,1649,2353,3553,3569,10332,10486,10112,10036,10164,10163,10238,10221,10300,0.9917,0,0.000576214931477714
5603,2919,1649,2353,3553,3569,10332,10164,10486,10112,10036,10163,10335,10154,0.9959,0,0,0.000464293806694437
56033,1869,1870,1875,144455,7020,10052,10085,10092,0.9974,0,0,0,0,0,0,0,0.000318245478387024
5604,467,4609,10061,10067,10055,10197,100132464,1019,10096,10128,10043,0.9931,0,0,0,0,0.000468374060550953
5606,60468,1879,2353,3725,4609,10061,10067,10112,10134,10055,10036,10062,10007,0.9921,0,0,0.000520787996582698
56103,340273,116236,84448,176,55,5452,1958,4609,5885,5460,1488,84159,5087,1523,0.9938,0,0.000422334247310544
56104,60468,2354,8061,2353,3726,10332,10164,10486,10112,10163,10216,10134,10036,10162,10452,0.9935,0.000531828440788226
56111,60468,1050,2354,8061,2353,1012,10164,10112,10134,10216,10062,10309,10163,10162,0.9947,0,0.000476920997288452
56125,3725,7020,10164,10092,10057,10059,10130,1017,10131,10163,10165,10139,0.9891,0,0,0,0.000434588311614313
